accession	d	p	c	o	f	g	s	species
GB_GCA_002332795.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__SBR1031	f__UBA2029	g__UBA2029	s__UBA2029 sp002332795	UBA2029 sp002332795
GB_GCA_011051745.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__SBR1031	f__UBA3940	g__DRKO01	s__DRKO01 sp011051745	DRKO01 sp011051745
GB_GCA_011388385.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__SpSt-313	f__SpSt-313	g__DRWE01	s__DRWE01 sp011388385	DRWE01 sp011388385
GB_GCA_011047295.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__SpSt-313	f__SpSt-313	g__SpSt-313	s__SpSt-313 sp011047295	SpSt-313 sp011047295
GB_GCA_011041825.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__SpSt-600	f__SpSt-600	g__HyVt-206	s__HyVt-206 sp011041825	HyVt-206 sp011041825
GB_GCA_011333005.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__SpSt-600	f__SpSt-600	g__SpSt-600	s__SpSt-600 sp011333005	SpSt-600 sp011333005
GB_GCA_011364775.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__SpSt-600	f__SpSt-600	g__SpSt-600	s__SpSt-600 sp011364775	SpSt-600 sp011364775
GB_GCA_012515695.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA1429	f__UBA1429	g__JAAYXX01	s__JAAYXX01 sp012515695	JAAYXX01 sp012515695
GB_GCA_012513595.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA1429	f__UBA1429	g__JAAZBY01	s__JAAZBY01 sp012513595	JAAZBY01 sp012513595
GB_GCA_007123335.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA1429	f__UBA1429	g__SKLG01	s__SKLG01 sp007123335	SKLG01 sp007123335
GB_GCA_011332765.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA1429	f__UBA1429	g__SpSt-996	s__SpSt-996 sp011332765	SpSt-996 sp011332765
GB_GCA_014360825.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA2200	f__JACIWT01	g__JACIWT01	s__JACIWT01 sp014360825	JACIWT01 sp014360825
GB_GCA_014360755.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA2200	f__UBA2200	g__JACIWX01	s__JACIWX01 sp014360755	JACIWX01 sp014360755
GB_GCA_014360905.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA2200	f__UBA2200	g__JACIWX01	s__JACIWX01 sp014360905	JACIWX01 sp014360905
GB_GCA_002070215.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA2200	f__UBA2200	g__UBA2200	s__UBA2200 sp002070215	UBA2200 sp002070215
GB_GCA_002327925.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA2200	f__UBA2200	g__UBA2200	s__UBA2200 sp002327925	UBA2200 sp002327925
GB_GCA_002348045.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA2200	f__UBA2200	g__UBA2232	s__UBA2232 sp002348045	UBA2232 sp002348045
GB_GCA_002435875.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA2200	f__UBA2200	g__UBA6131	s__UBA6131 sp002435875	UBA6131 sp002435875
GB_GCA_002366755.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA3071	f__UBA3071	g__UBA3071	s__UBA3071 sp002366755	UBA3071 sp002366755
GB_GCA_903825565.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA4142	f__UBA4142	g__CAIKBD01	s__CAIKBD01 sp903825565	CAIKBD01 sp903825565
GB_GCA_002400365.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA4142	f__UBA4142	g__UBA4142	s__UBA4142 sp002400365	UBA4142 sp002400365
GB_GCA_005223035.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA7937	f__B3-Chlor	g__B3-Chlor	s__B3-Chlor sp005223035	B3-Chlor sp005223035
GB_GCA_002366595.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA7937	f__UBA7937	g__UBA7937	s__UBA7937 sp002366595	UBA7937 sp002366595
GB_GCA_003453555.1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__UBA7937	f__UBA7937	g__UBA7937	s__UBA7937 sp003453555	UBA7937 sp003453555
GB_GCA_011388535.1	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__DTKN01	f__DTKN01	g__DRUS01	s__DRUS01 sp011388535	DRUS01 sp011388535
GB_GCA_011333455.1	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__DTKN01	f__DTKN01	g__DTKN01	s__DTKN01 sp011333455	DTKN01 sp011333455
GB_GCA_002690375.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__ARS1013	g__ARS1013	s__ARS1013 sp002690375	ARS1013 sp002690375
GB_GCA_003563865.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__CSSed11-197	g__CSSed11-197	s__CSSed11-197 sp003563865	CSSed11-197 sp003563865
RS_GCF_001466665.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Dehalococcoidaceae	g__Dehalogenimonas	s__Dehalogenimonas alkenigignens	Dehalogenimonas alkenigignens
RS_GCF_001953175.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Dehalococcoidaceae	g__Dehalogenimonas	s__Dehalogenimonas formicexedens	Dehalogenimonas formicexedens
RS_GCF_000143165.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Dehalococcoidaceae	g__Dehalogenimonas	s__Dehalogenimonas lykanthroporepellens	Dehalogenimonas lykanthroporepellens
GB_GCA_001005265.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Dehalococcoidaceae	g__Dehalogenimonas	s__Dehalogenimonas sp001005265	Dehalogenimonas sp001005265
GB_GCA_009778865.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Dehalococcoidaceae	g__WRFJ01	s__WRFJ01 sp009778865	WRFJ01 sp009778865
GB_GCA_004375675.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__E44-bin88	g__E44-bin88	s__E44-bin88 sp004375675	E44-bin88 sp004375675
GB_GCA_011176635.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__E44-bin88	g__E44-bin88	s__E44-bin88 sp011176635	E44-bin88 sp011176635
GB_GCA_013202445.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__E44-bin88	g__E44-bin88	s__E44-bin88 sp013202445	E44-bin88 sp013202445
GB_GCA_011192055.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Fen-1064	g__DUES01	s__DUES01 sp011192055	DUES01 sp011192055
GB_GCA_003153075.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Fen-1064	g__Fen-1064	s__Fen-1064 sp003153075	Fen-1064 sp003153075
GB_GCA_003162335.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Fen-1064	g__Fen-1064	s__Fen-1064 sp003162335	Fen-1064 sp003162335
GB_GCA_903916765.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Fen-1064	g__Fen-1064	s__Fen-1064 sp903916765	Fen-1064 sp903916765
GB_GCA_011170375.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__Fen-1064	g__W589	s__W589 sp011170375	W589 sp011170375
GB_GCA_004375725.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__E44-bin89	s__E44-bin89 sp004375725	E44-bin89 sp004375725
GB_GCA_011174815.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__E44-bin89	s__E44-bin89 sp011174815	E44-bin89 sp011174815
GB_GCA_013202615.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__E44-bin89	s__E44-bin89 sp013202615	E44-bin89 sp013202615
GB_GCA_003141235.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__Fen-1077	s__Fen-1077 sp003141235	Fen-1077 sp003141235
GB_GCA_002688435.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__GCA-2688435	s__GCA-2688435 sp002688435	GCA-2688435 sp002688435
GB_GCA_002011495.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__JdFR-56	s__JdFR-56 sp002011495	JdFR-56 sp002011495
GB_GCA_001796495.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__RBG-13-51-18	s__RBG-13-51-18 sp001796495	RBG-13-51-18 sp001796495
GB_GCA_001796865.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__RBG-16-56-11	s__RBG-16-56-11 sp001796865	RBG-16-56-11 sp001796865
GB_GCA_001796935.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__RBG-16-60-22	s__RBG-16-60-22 sp001796935	RBG-16-60-22 sp001796935
GB_GCA_011192005.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__W425	s__W425 sp011192005	W425 sp011192005
GB_GCA_004376435.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__SOJS01	g__SOJS01	s__SOJS01 sp004376435	SOJS01 sp004376435
GB_GCA_003599745.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__SURF-40	g__SURF-40	s__SURF-40 sp003599745	SURF-40 sp003599745
GB_GCA_003597995.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__SURF-27	s__SURF-27 sp003597995	SURF-27 sp003597995
GB_GCA_903844845.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__SURF-27	s__SURF-27 sp903844845	SURF-27 sp903844845
GB_GCA_002309415.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__UBA1222	s__UBA1222 sp002309415	UBA1222 sp002309415
GB_GCA_009776735.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__WRNG01	s__WRNG01 sp009776735	WRNG01 sp009776735
GB_GCA_009779655.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__WRNG01	s__WRNG01 sp009779655	WRNG01 sp009779655
GB_GCA_009783135.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__WRNG01	s__WRNG01 sp009783135	WRNG01 sp009783135
GB_GCA_009784845.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__WRNG01	s__WRNG01 sp009784845	WRNG01 sp009784845
GB_GCA_009786345.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__WRNG01	s__WRNG01 sp009786345	WRNG01 sp009786345
GB_GCA_009776515.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA1222	g__WRNP01	s__WRNP01 sp009776515	WRNP01 sp009776515
GB_GCA_002685815.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA2162	g__GCA-2685815	s__GCA-2685815 sp002685815	GCA-2685815 sp002685815
GB_GCA_001796415.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA2162	g__MGML01	s__MGML01 sp001796415	MGML01 sp001796415
GB_GCA_011191975.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA2162	g__MGML01	s__MGML01 sp011191975	MGML01 sp011191975
GB_GCA_002335405.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA2162	g__UBA2162	s__UBA2162 sp002335405	UBA2162 sp002335405
GB_GCA_011328975.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA3254	g__UBA3254	s__UBA3254 sp011328975	UBA3254 sp011328975
GB_GCA_011389395.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA3254	g__UBA3254	s__UBA3254 sp011389395	UBA3254 sp011389395
GB_GCA_903890885.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA3254	g__UBA3254	s__UBA3254 sp903890885	UBA3254 sp903890885
GB_GCA_002421585.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA5627	g__UBA5627	s__UBA5627 sp002421585	UBA5627 sp002421585
GB_GCA_002688105.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA5760	g__GCA-2688105	s__GCA-2688105 sp002688105	GCA-2688105 sp002688105
GB_GCA_011192075.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA5760	g__S120	s__S120 sp011192075	S120 sp011192075
GB_GCA_011170285.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA5760	g__W498	s__W498 sp011170285	W498 sp011170285
GB_GCA_011191875.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA5760	g__W498	s__W498 sp011191875	W498 sp011191875
GB_GCA_011191985.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__W111	g__W111	s__W111 sp011191985	W111 sp011191985
GB_GCA_001872925.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__AB-539-J10	g__CG2-30-46-19	s__CG2-30-46-19 sp001872925	CG2-30-46-19 sp001872925
GB_GCA_001873005.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__AB-539-J10	g__CG2-30-46-9	s__CG2-30-46-9 sp001873005	CG2-30-46-9 sp001873005
GB_GCA_004377135.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__AB-539-J10	g__E44-bin10	s__E44-bin10 sp004377135	E44-bin10 sp004377135
GB_GCA_002452795.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__AB-539-J10	g__UBA6803	s__UBA6803 sp002452795	UBA6803 sp002452795
GB_GCA_012961565.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5620	g__DTZC01	s__DTZC01 sp012961565	DTZC01 sp012961565
GB_GCA_011333645.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5620	g__SpSt-1004	s__SpSt-1004 sp011333645	SpSt-1004 sp011333645
GB_GCA_011371865.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5620	g__SpSt-1004	s__SpSt-1004 sp011371865	SpSt-1004 sp011371865
GB_GCA_011170325.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5620	g__W265	s__W265 sp011170325	W265 sp011170325
GB_GCA_903844685.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5629	g__CAIMUM01	s__CAIMUM01 sp903844685	CAIMUM01 sp903844685
GB_GCA_903929005.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5629	g__CAIMUM01	s__CAIMUM01 sp903929005	CAIMUM01 sp903929005
GB_GCA_011370585.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5629	g__SpSt-828	s__SpSt-828 sp011370585	SpSt-828 sp011370585
GB_GCA_002311135.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5629	g__UBA1162	s__UBA1162 sp002311135	UBA1162 sp002311135
GB_GCA_003142375.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5629	g__UBA1162	s__UBA1162 sp003142375	UBA1162 sp003142375
GB_GCA_002011475.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__JdFR-54	f__JdFR-54	g__JdFR-54	s__JdFR-54 sp002011475	JdFR-54 sp002011475
GB_GCA_004377275.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SZUA-161	f__E44-bin15	g__E29-bin15	s__E29-bin15 sp004377275	E29-bin15 sp004377275
GB_GCA_004376075.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SZUA-161	f__E44-bin15	g__E44-bin26	s__E44-bin26 sp004376075	E44-bin26 sp004376075
GB_GCA_012974295.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SZUA-161	f__E44-bin15	g__JAAXQM01	s__JAAXQM01 sp012974295	JAAXQM01 sp012974295
GB_GCA_003229915.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SZUA-161	f__SZUA-161	g__SZUA-161	s__SZUA-161 sp003229915	SZUA-161 sp003229915
GB_GCA_004376205.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SZUA-161	f__SZUA-161	g__SZUA-161	s__SZUA-161 sp004376205	SZUA-161 sp004376205
GB_GCA_011174795.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SZUA-161	f__SZUA-161	g__W281	s__W281 sp011174795	W281 sp011174795
GB_GCA_013203045.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SZUA-161	f__SpSt-899	g__JABMQN01	s__JABMQN01 sp013203045	JABMQN01 sp013203045
GB_GCA_011358905.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SZUA-161	f__SpSt-899	g__SpSt-899	s__SpSt-899 sp011358905	SpSt-899 sp011358905
GB_GCA_003650185.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA2777	f__RBG-13-53-26	g__B9-G15	s__B9-G15 sp003650185	B9-G15 sp003650185
GB_GCA_003551705.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA2777	f__RBG-13-53-26	g__PUNJ01	s__PUNJ01 sp003551705	PUNJ01 sp003551705
GB_GCA_002352365.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA2777	f__UBA2777	g__UBA2777	s__UBA2777 sp002352365	UBA2777 sp002352365
GB_GCA_002367275.1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3088	f__UBA3088	g__UBA3088	s__UBA3088 sp002367275	UBA3088 sp002367275
GB_GCA_011042595.1	d__Bacteria	p__DQWO01	c__DQWO01	o__DQWO01	f__DQWO01	g__DQWO01	s__DQWO01 sp011042595	DQWO01 sp011042595
GB_GCA_011049115.1	d__Bacteria	p__DQWO01	c__DQWO01	o__DQWO01	f__JAADEO01	g__JAADEO01	s__JAADEO01 sp011049115	JAADEO01 sp011049115
GB_GCA_013153415.1	d__Bacteria	p__DQWO01	c__DQWO01	o__DQWO01	f__JAADEO01	g__JAADEO01	s__JAADEO01 sp013153415	JAADEO01 sp013153415
GB_GCA_003646705.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__B13-G15	f__B13-G15	g__B13-G15	s__B13-G15 sp003646705	B13-G15 sp003646705
GB_GCA_003646585.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__B13-G15	f__B13-G15	g__B73-G16	s__B73-G16 sp003646585	B73-G16 sp003646585
GB_GCA_011367125.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__B13-G15	f__B13-G15	g__DSZL01	s__DSZL01 sp011367125	DSZL01 sp011367125
GB_GCA_011361925.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__B13-G15	f__B13-G15	g__DTJU01	s__DTJU01 sp011361925	DTJU01 sp011361925
GB_GCA_011370455.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__B13-G15	f__B13-G15	g__DTJU01	s__DTJU01 sp011370455	DTJU01 sp011370455
GB_GCA_003646745.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__B13-G15	f__RBG-16-54-18	g__B11-G15	s__B11-G15 sp003646745	B11-G15 sp003646745
GB_GCA_001797935.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__B13-G15	f__RBG-16-54-18	g__RBG-16-54-18	s__RBG-16-54-18 sp001797935	RBG-16-54-18 sp001797935
GB_GCA_011334915.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__DTGN01	g__DTGN01	s__DTGN01 sp011334915	DTGN01 sp011334915
GB_GCA_011047885.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__DTGX01	s__DTGX01 sp011047885	DTGX01 sp011047885
GB_GCA_013388635.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__JACAEX01	s__JACAEX01 sp013388635	JACAEX01 sp013388635
GB_GCA_001798855.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__RBG-16-49-23	s__RBG-16-49-23 sp001798855	RBG-16-49-23 sp001798855
GB_GCA_002311635.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__UBA1163	s__UBA1163 sp002311635	UBA1163 sp002311635
GB_GCA_002327885.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__UBA1163	s__UBA1163 sp002327885	UBA1163 sp002327885
GB_GCA_002327985.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__UBA1163	s__UBA1163 sp002327985	UBA1163 sp002327985
GB_GCA_002780715.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__UBA1163	s__UBA1163 sp002780715	UBA1163 sp002780715
GB_GCA_013388645.1	d__Bacteria	p__Desulfobacterota	c__BSN033	o__BSN033	f__UBA1163	g__UBA1163	s__UBA1163 sp013388645	UBA1163 sp013388645
GB_GCA_013374135.1	d__Bacteria	p__Desulfobacterota	c__Desulfarculia_A	o__Adiutricales	f__Adiutricaceae	g__Adiutrix	s__Adiutrix intracellularis	Adiutrix intracellularis
GB_GCA_002779455.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__0-14-0-80-60-11	g__0-14-0-80-60-11	s__0-14-0-80-60-11 sp002779455	0-14-0-80-60-11 sp002779455
GB_GCA_011334855.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__0-14-0-80-60-11	g__DTHB01	s__DTHB01 sp011334855	DTHB01 sp011334855
GB_GCA_011358955.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__0-14-0-80-60-11	g__DTKJ01	s__DTKJ01 sp011358955	DTKJ01 sp011358955
GB_GCA_011389355.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__0-14-0-80-60-11	g__DTKJ01	s__DTKJ01 sp011389355	DTKJ01 sp011389355
GB_GCA_003599195.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__0-14-0-80-60-11	g__SURF-52	s__SURF-52 sp003599195	SURF-52 sp003599195
RS_GCF_000195295.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__Desulfobaccaceae	g__Desulfobacca	s__Desulfobacca acetoxidans	Desulfobacca acetoxidans
GB_GCA_002049795.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__Desulfobaccaceae	g__Desulfobacca_B	s__Desulfobacca_B sp002049795	Desulfobacca_B sp002049795
GB_GCA_011334425.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia_A	o__RBG-13-43-22	f__RBG-13-43-22	g__DTOO01	s__DTOO01 sp011334425	DTOO01 sp011334425
GB_GCA_001797675.1	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia_A	o__RBG-13-43-22	f__RBG-13-43-22	g__RBG-13-43-22	s__RBG-13-43-22 sp001797675	RBG-13-43-22 sp001797675
GB_GCA_003646875.1	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfatiglandales	f__B25-G16	g__B33-G16	s__B33-G16 sp003646875	B33-G16 sp003646875
GB_GCA_002084425.1	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__4572-130	s__4572-130 sp002084425	4572-130 sp002084425
GB_GCA_003818505.1	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__RPRI01	g__RPRI01	s__RPRI01 sp003818505	RPRI01 sp003818505
GB_GCA_013824585.1	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__SURF-7	g__SURF-7	s__SURF-7 sp013824585	SURF-7 sp013824585
GB_GCA_002868955.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__BM004	g__BM004	s__BM004 sp002868955	BM004 sp002868955
GB_GCA_012974315.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__BM004	g__BM004	s__BM004 sp012974315	BM004 sp012974315
GB_GCA_002897615.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__BMS3Abin13	s__BMS3Abin13 sp002897615	BMS3Abin13 sp002897615
GB_GCA_013151365.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__BMS3Abin13	s__BMS3Abin13 sp013151365	BMS3Abin13 sp013151365
GB_GCA_011051825.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__DRLX01	s__DRLX01 sp011051825	DRLX01 sp011051825
GB_GCA_002413355.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__Electronema	s__Electronema sp002413355	Electronema sp002413355
GB_GCA_004284765.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__Electronema	s__Electronema sp004284765	Electronema sp004284765
GB_GCA_011391865.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__Electronema	s__Electronema sp011391865	Electronema sp011391865
GB_GCA_003604995.1	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__UBA10518	s__UBA10518 sp003604995	UBA10518 sp003604995
